Subject,Subject.readInstructions,Subject.gender,Subject.age,Subject.ethnicity,Subject.education,Subject.nativelang,Subject.languages,Subject.location,Condition,Talker,Lure,Recalled,PropListRecalled,PropCorrectRecalls,RecalledLure,FalseRecall
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,deshaun,law,amendment legislation judge court rules justice lawyer,0.428571428571,0.857142857143,False,judge
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,conner,thug,drugs violent hood criminal streets bully,0.428571428571,1.0,False,
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,conner,jail,life convict felon prisoner bars bird punishment house,0.571428571429,1.0,False,
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,deshaun,needle,syringe cloth stumble i shaun dig pin thimble prick hurt,0.428571428571,0.6,False,i shaun dig stumble
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,deshaun,doctor,clinic surgeon stethoscope surgeon nurse she hospital,0.357142857143,0.833333333333,False,she
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,conner,cold,arctic ice freeze fire ice bomb shiver cold,0.285714285714,0.571428571429,True,fire cold bomb
R_vcwOQqGKZ37XZVD,Yes,Female,37,Black or African American,some college,english,english,Winston Salem  North Carolina,4,conner,trash,bag pile bag landfill rubbish dumpster filthy trash,0.357142857143,0.714285714286,True,trash filthy
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,conner,black,brown coal color dark,0.285714285714,1.0,False,
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,conner,kill,deadly murder assassin shoot,0.285714285714,1.0,False,
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,deshaun,thug,drugs violent hood gangster,0.285714285714,1.0,False,
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,deshaun,athlete,skill muscle compete sports,0.214285714286,0.75,False,skill
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,conner,sweet,frosting sour desert sugar,0.285714285714,1.0,False,
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,conner,lion,hunt bears cage feline cat fierce africa mane,0.5,0.875,False,cat
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,deshaun,cold,arctic shiver air fridged,0.285714285714,1.0,False,
R_30pokOAJSl5mqrj,Yes,Male,36,White,some college,English ,English ,Huntsville al ,5,deshaun,trash,bag power landfill sewage dumpster,0.285714285714,0.8,False,power
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,conner,black,brown cold black ice,0.0714285714286,0.25,True,cold black ice
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,conner,kill,deadly murder assassin poison smother,0.357142857143,1.0,False,
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,deshaun,gang,crips bandana street,0.214285714286,1.0,False,
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,deshaun,athlete,basketball sport compete skilled muscle athletic,0.357142857143,0.833333333333,False,athletic
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,conner,fruit,bowl grapes,0.0714285714286,0.5,False,grapes
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,conner,chair,desk rocker furniture,0.214285714286,1.0,False,
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,deshaun,cold,arctic freeze shiver north air,0.285714285714,0.8,False,north
R_3spIyyi6V0e56UQ,Yes,Female,32,White,some college,english,english,elgin  illinois,5,deshaun,cup,plastic cup mug saucer,0.214285714286,0.75,True,cup
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,conner,anger,anger hate fear rage wrath ire happy calm emotion,0.571428571429,0.888888888889,True,anger
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,conner,gun,shoot military murder bang canon,0.357142857143,1.0,False,
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,deshaun,gang,stab fight group member blood nortana crips,0.428571428571,0.857142857143,False,stab
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,deshaun,jail,prisoner jail convict free failure life,0.285714285714,0.666666666667,True,failure jail
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,conner,fruit,orange apple citrus vegetable berry cherry salad bowl orange,0.571428571429,1.0,False,
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,conner,chair,couch cushion seat sit recliner furniture rocker desk,0.571428571429,1.0,False,
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,deshaun,mountain,hill valley molehill climber valley steep,0.357142857143,1.0,False,
R_2BsySudg9DjYpmW,Yes,Female,28,Hispanic or Latino,graduated college,english,,san tan valley Arizona,5,deshaun,cup,mug straw bowl stein plate plastic,0.285714285714,0.666666666667,False,plate bowl
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,conner,black,white color ink water bottom black brown under,0.357142857143,0.625,True,water black under
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,conner,kill,slay assassin murder homicide kill,0.285714285714,0.8,True,kill
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,deshaun,thug,drugs violent hood monster crime streets mean,0.428571428571,0.857142857143,False,monster
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,deshaun,jail,life convict felon bars house prison violence,0.428571428571,0.857142857143,False,violence
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,conner,sweet,sugar kind candy good desert frosting cupcake,0.357142857143,0.714285714286,False,good cupcake
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,conner,lion,tiger africa fierce feline hunt roar,0.428571428571,1.0,False,
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,deshaun,mountain,hill mountain molehill climber steep angle ice,0.285714285714,0.571428571429,True,mountain angle ice
R_xud5y8qW9hSm7ip,Yes,Male,48,White,graduated high school,English,English,Joshua Tree  CA,5,deshaun,cup,mug cup coffee holder plastic stein lid,0.357142857143,0.714285714286,True,holder cup
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,conner,black,brown funeral coal death white dark seat bottom blue,0.571428571429,0.888888888889,False,seat
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,conner,kill,deadly murder assassin shot stab smother,0.428571428571,1.0,False,
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,deshaun,gang,crips nortenyo bandana street crime bad,0.428571428571,1.0,False,
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,deshaun,jail,life convict felon prison break free bars,0.5,1.0,False,
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,conner,sweet,frosting dessert kind syrup chocolate bitter,0.428571428571,1.0,False,
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,conner,lion,hunt bear fierce feline cage tiger roar,0.5,1.0,False,
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,deshaun,mountain,steep range climber bike slope mountain,0.285714285714,0.666666666667,True,slope mountain
R_3HhQpswM3linR1N,Yes,Male,34,White,graduated college,English,English,Flat Rock  MI,5,deshaun,cup,plastic drink stein goblet saucer tea mug,0.5,1.0,False,
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,conner,anger,hatred mean calm emotion mad fight,0.428571428571,1.0,False,
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,conner,gun,pistol murder riffle shot bullet bang,0.428571428571,1.0,False,
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,deshaun,thug,drugs violent hood crime,0.285714285714,1.0,False,
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,deshaun,athlete,skilled muscle healthy fast complete runner olympics,0.428571428571,0.857142857143,False,complete
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,conner,fruit,bowl juice basket salad,0.285714285714,1.0,False,
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,conner,chair,desk rock furniture stool,0.214285714286,0.75,False,rock
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,deshaun,cold,hot storm warm winter ice weather artic,0.428571428571,0.857142857143,False,storm
R_eLiKl6EOCilSv8l,Yes,Male,32,Black or African American,graduated college,English,English,Indianapolis  IN,5,deshaun,trash,bag cow landfill putter,0.142857142857,0.5,False,putter cow
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,deshaun,black,brown coal bottle ink color death pink,0.357142857143,0.714285714286,False,pink bottle
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,deshaun,kill,deadly murder shot assassin slay homicide,0.428571428571,1.0,False,
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,conner,thug,drugs violent hoodlum drugs street murder gangster crime,0.428571428571,0.857142857143,False,murder
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,conner,athlete,skilled muscle health basketball compete fit football sport,0.5,0.875,False,health
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,deshaun,sweet,frosting sour dessert pie tart sugar cake,0.357142857143,0.714285714286,False,cake pie
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,deshaun,chair,desk rocker furniture chair table wicker couch sit,0.5,0.875,True,chair
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,conner,mountain,steep range climber bike molehill valley cross,0.428571428571,0.857142857143,False,cross
R_2E5WRoNgK4o1EZe,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,6,conner,cup,plastic stein soup drink goblet cup saucer,0.428571428571,0.857142857143,True,cup
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,deshaun,black,brown bite blue desk ink funeral,0.285714285714,0.666666666667,False,bite desk
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,deshaun,gun,bang pistol rifle shoot murder cannon bullet,0.5,1.0,False,
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,conner,gang,crypts bandana gang violence bang street groups,0.428571428571,0.857142857143,True,gang
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,conner,athlete,skilled muscled performer,0.142857142857,0.666666666667,False,performer
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,deshaun,sweet,frosting kind sour sugar dessert,0.357142857143,1.0,False,
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,deshaun,lion,hunt bears feline roars circus tamer lion,0.428571428571,0.857142857143,True,lion
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,conner,cold,arctic warm freeze ice winter shiver cold,0.428571428571,0.857142857143,True,cold
R_3OcYFQO35jEfEhX,Yes,Male,45,White,graduated high school,English,English,Hershey  PA,6,conner,trash,bag pile rubbish dumpster sewage waste refuse,0.428571428571,0.857142857143,False,refuse
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,deshaun,anger,emotion mean calm hate ire fear wrath,0.5,1.0,False,
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,deshaun,kill,deadly murder assassin shoot kill slay homicide,0.428571428571,0.857142857143,True,kill
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,conner,thug,drugs violent street hood hoodlum crime,0.428571428571,1.0,False,
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,conner,jail,life felon convict baked free,0.285714285714,0.8,False,baked
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,deshaun,sweet,syrup dessert frosting sour,0.285714285714,1.0,False,
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,deshaun,lion,hunt bears roar feline cage africa,0.428571428571,1.0,False,
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,conner,cold,arctic shiver freeze air,0.285714285714,1.0,False,
R_3PIgDcuMhgBtjjR,Yes,Female,38,White,some college,English,English,Brick  NJ,6,conner,trash,bag can pile rubbish garbage,0.357142857143,1.0,False,
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,deshaun,black,white dark cold night death blue ink bottle brown,0.5,0.777777777778,False,cold bottle
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,deshaun,gun,pistol rifle bullet hunt military powder murder aim bang cannon,0.714285714286,1.0,False,
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,conner,gang,violence bang bank crime fight blood drugs life bandana crips,0.642857142857,0.9,False,bank
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,conner,athlete,sports strong athlete olympics runner muscle skilled,0.428571428571,0.857142857143,True,athlete
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,deshaun,fruit,apple vegetable pear berry cherry banana bow,0.428571428571,0.857142857143,False,bow
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,deshaun,chair,swivel stool wicker seat rocker desk,0.428571428571,1.0,False,
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,conner,mountain,top summit peak glacier goat bike climber range steep,0.642857142857,1.0,False,
R_T5egF3eDiiDL2Q9,Yes,Male,25,White,some college,English,English,Scottsbluff  NE,6,conner,cup,saucer mug measure coffee soup stein drink plastic,0.5,0.875,False,measure
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,deshaun,anger,emotion con fight happy hatred rage fury anger ire,0.5,0.777777777778,True,anger con
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,deshaun,kill,deadly assassin poison smother shot stab murder suicide slay,0.642857142857,1.0,False,
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,conner,thug,drugs violent street hood criminal bully hoodlum mean gangster punk thug,0.714285714286,0.909090909091,True,thug
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,conner,jail,life convict felon free prisoner break house arrest prison bars jail,0.642857142857,0.818181818182,True,arrest jail
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,deshaun,fruit,bowl salad basket juice cherry ripe banana kiwi citrus,0.642857142857,1.0,False,
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,deshaun,chair,desk rocker furniture wicker stool,0.357142857143,1.0,False,
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,conner,mountain,steep range biker climber peak summit plain glacier valley hill,0.714285714286,1.0,False,
R_1OHQOk7acbho9Go,Yes,Male,31,White,graduated college,english,english,benicia  ca,6,conner,cup,plastic drink stein straw mug goblet saucer,0.5,1.0,False,
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,deshaun,black,blue death ink bottom brown,0.357142857143,1.0,False,
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,deshaun,kill,violence shoot stab attack homicide destroy shot smother poison murder deadly,0.785714285714,1.0,False,
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,conner,gang,crime member bad fight blood drugs life bandanna crypts,0.642857142857,1.0,False,
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,conner,jail,time sell bars punishment prisoner bait free felon convict life,0.642857142857,0.9,False,sell
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,deshaun,sweet,honey bitter nice sugar tart taste fudge candy syrup pie chocolate dessert sour frosting,0.928571428571,0.928571428571,False,pie
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,deshaun,chair,couch swivel cushion seat recliner wicker table stool furniture sofa rocker desk,0.857142857143,1.0,False,
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,conner,mountain,hill valley climb summit molehill peak plane glacier goat bike climber range steep,0.857142857143,0.923076923077,False,plane
R_cvDTq85C194JHbj,I was confused,Female,35,White,graduated high school,English,,Swartz Creek  MI,6,conner,trash,garbage waste dumpster junk hefty litter sewage scraps dump rubbish landfill can pile bag,1.0,1.0,False,
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,deshaun,black,dog cat funeral grief blue knight ground,0.285714285714,0.571428571429,False,knight dog ground
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,deshaun,kill,shot suicide violence crime murder deadly,0.357142857143,0.833333333333,False,crime
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,conner,thug,anger criminal crook violent drugs,0.214285714286,0.6,False,anger crook
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,conner,jail,prison bird cell convict bar felon life,0.5,1.0,False,
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,deshaun,fruit,apple pear banana cherry basket fruit juice salad bowl,0.571428571429,0.888888888889,True,fruit
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,deshaun,chair,chair rocker wicker table furniture stool desk,0.428571428571,0.857142857143,True,chair
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,conner,cold,hot snow weather cold frigid arctic,0.357142857143,0.833333333333,True,cold
R_3nHJDbu2Wxuu3y2,Yes,Female,25,White,graduated high school,english,English ,Cincinnati ohio ,6,conner,cup,mug saucer cup glass stein plastic,0.285714285714,0.666666666667,True,glass cup
